"","addr.city","addr.country","addr.housenumber","addr.postcode","addr.street","caravans","email","name","opening_hours","phone","tents","tourism","dog","dryer","fax","phone.mobile","power_supply","washing_machine","website","wheelchair","created_by","scout","amenity","fixme","leisure","openfire","operator","description","postal_code","source","sport","access","internet_access","contact.email","contact.fax","contact.phone","contact.website","addr.suburb","cabins","stars","note","url","internet_access.fee","maxtents","designation","addr.housename","kitchen","group_only","wifi","lat","lon"
"97870691","Passau","DE","34","94034","Halser Straße","no","JM.Zietek@t-online.de","Zeltplatz Ilzstadt","May 01-Sep 30","+49 851 41457","yes","camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5821833,13.4730544
"255303075","Klingenberg/Trennfurt","DE","3","63911","Am Campingplatz","yes","m.denger@gmx.de","Aqua Camping",NA,NA,"yes","camp_site","yes","yes","+49 9372 408324","+49 175 8537848","yes","yes","www.aqua-campingplatz.de","limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7661061,9.1785745
"266549090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,"JOSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8864623,9.5704277
"277815437",NA,NA,NA,NA,NA,"no",NA,"Zeltplatz Kreisjugendring Donau-Ries",NA,NA,"no","camp_site",NA,NA,NA,NA,NA,NA,"http://www.kjr-donau-ries.de/index.php?id=13",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6689242,10.699726
"287216441",NA,NA,NA,NA,NA,NA,NA,"Zum Eichensee",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"restaurant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4732947,10.7611968
"294791120",NA,NA,NA,NA,NA,NA,NA,"Zeltplatz Pfadfinderheim",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7696142,11.4930954
"294791122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7690557,11.4913711
"294822115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6026056,11.2809351
"297479316",NA,NA,NA,NA,NA,NA,"info@burgauer-see.de","Campingplatz Burgauer See",NA,"+49 8222 4981",NA,"camp_site",NA,NA,"+49 8222 7973",NA,NA,NA,"http://www.jettingen-scheppach.de/content/gastronomie/camping/stocker.shtml",NA,NA,NA,NA,"noch vorhanden??",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4142043,10.4251794
"298133496",NA,NA,NA,NA,NA,NA,NA,"KJR Zeltplatz Hutzelmühle",NA,NA,NA,"camp_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7672391,10.5141064
