"","created_by","name","phone","tourism","website","stars","operator","beds","wheelchair","addr.city","addr.housenumber","addr.postcode","addr.street","contact.email","contact.phone","contact.website","source","addr.country","internet_access","internet_access.fee","smoking","email","fax","amenity","name.en","name.es","wheelchair.description","contact.facebook","lat","lon"
"143098199","JOSM","Habitaciones ""Aránzazu""","917291572","hostel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.485932,-3.6901415
"151223418","JOSM","Pensión ""Mónica""","913584778","hostel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4855764,-3.6896661
"286312700","Potlatch 0.10b","Albergue Juvenil",NA,"hostel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5795642,-4.1467939
"621118487",NA,"La Hospedería de Antonia","91 884 49 75","hostel","www.hospederiadeantonia.es",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5332523,-3.4799679
"1013493190",NA,"Alaska",NA,"hostel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0462639,-3.6165694
"1572572830",NA,NA,NA,"hostel",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4126025,-3.7032679
"1743983862",NA,"Ballesta",NA,"hostel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4215446,-3.7035787
"1819460987",NA,"Acogida de Peregrino Cercedilla",NA,"hostel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7414527,-4.0480942
"1828865799",NA,"Albergue de Peregrinos Tres Cantos",NA,"hostel",NA,NA,"Ayuntamiento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5993437,-3.712279
"1937730956",NA,"Albergue juvenil Santa Cruz de Marcenado",NA,"hostel",NA,NA,"Comunidad de Madrid","72","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4298438,-3.7132689
"1987703776",NA,"Hostal Longinos El Aribel","+34 918 52 15 11","hostel","http://www.hostalaribel.com/index.html",NA,NA,NA,NA,"Cercedilla","41","28470","Calle de Emilio Serrano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7381378,-4.0663912
"2043171005",NA,"Apartahotel Rosales",NA,"hostel",NA,NA,NA,NA,NA,NA,"23",NA,"Calle del Marqués de Urquijo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4297298,-3.7186412
"2043576532",NA,"Hostal Argentina",NA,"hostel",NA,NA,NA,NA,NA,"Madrid","14","28045","Calle de Méndez Álvaro","info@hostalargentina.es","+34 915275229","http://www.hostalargentina.es/","observation 10 Nov 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4062398,-3.6921657
"2078129743",NA,"Hostal Cartagena",NA,"hostel",NA,NA,NA,NA,"no","Madrid","21",NA,"Paseo de Santa Maria de la Cabeza",NA,NA,NA,NA,"ES","wlan","no","no",NA,NA,NA,NA,NA,NA,NA,40.405588,-3.694818
"2087632261",NA,"El Refugio de la Sauca","0034 647 453 152","hostel",NA,NA,NA,NA,NA,NA,"3","28749","Travesía de la Huertas",NA,NA,NA,"Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9187724,-3.8421036
"2087671151",NA,"El Pajar de Alameda",NA,"hostel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9200876,-3.8439677
