"","tourism","lat","lon","place","name","website"
"1",1,-33.8890868,151.2008132,Australia,175,NA
"2",1,-33.8823174,151.2046462,Australia,167,32
"3",1,-33.8773313,151.2116286,Australia,171,34
"4",1,-33.8807368,151.2046982,Australia,31,NA
"5",1,-33.8948169,151.2730077,Australia,116,NA
"6",1,-33.7125093,150.3126432,Australia,107,NA
"7",1,-33.7145029,150.3121622,Australia,151,NA
"8",1,-33.7149865,150.3121328,Australia,90,NA
"9",1,-33.7104002,150.3094929,Australia,40,NA
"10",1,-33.7098023,150.309194,Australia,67,NA
"11",1,-33.890182,151.2725841,Australia,86,NA
"12",1,-33.8914319,151.273434,Australia,26,NA
"13",1,-28.3274982,153.4016354,Australia,172,NA
"14",1,-37.8155762,144.955062,Australia,92,19
"15",1,-38.6197059,142.9937312,Australia,122,NA
"16",1,-31.8930189,116.7746965,Australia,123,NA
"17",1,-31.9505801,115.8632301,Australia,98,NA
"18",1,-37.8029494,144.9542786,Australia,176,NA
"19",1,-37.8580346,144.9809303,Australia,134,NA
"20",1,-39.1296331,146.4246138,Australia,NA,NA
"21",1,-35.281686,149.132348,Australia,46,NA
"22",1,-32.9279981,151.7853629,Australia,113,NA
"23",1,-12.4628472,130.8397642,Australia,104,NA
"24",1,-33.6273222,151.2849219,Australia,127,NA
"25",1,-26.8037243,153.1264932,Australia,37,NA
"26",1,-37.8602776,144.9781659,Australia,47,NA
"27",1,-32.0042899,115.5540343,Australia,138,NA
"28",1,-37.864319,144.9814817,Australia,144,51
"29",1,-37.8671138,144.979818,Australia,16,NA
"30",1,-37.8176298,144.9661635,Australia,153,NA
"31",1,-37.8164799,144.9663777,Australia,154,47
"32",1,-37.8059563,144.958616,Australia,74,NA
"33",1,-37.8173615,144.9643071,Australia,66,14
"34",1,-31.951989,116.1646049,Australia,126,NA
"35",1,-37.8207528,144.9551823,Australia,5,39
"36",1,-37.8153727,144.9550159,Australia,106,20
"37",1,-42.8858511,147.3219048,Australia,158,NA
"38",1,-35.0386504,138.7661465,Australia,112,NA
"39",1,-34.9049703,138.7407003,Australia,120,NA
"40",1,-34.9743003,138.7062096,Australia,110,NA
"41",1,-37.8278891,144.9573822,Australia,165,31
"42",1,-12.4579917,130.8341906,Australia,11,42
"43",1,-12.4577926,130.8412931,Australia,70,45
"44",1,-12.4631039,130.8400807,Australia,166,NA
"45",1,-12.4629415,130.8393566,Australia,177,NA
"46",1,-12.4631313,130.8440908,Australia,150,29
"47",1,-12.453644,130.8303497,Australia,72,46
"48",1,-12.459905,130.8362297,Australia,173,NA
"49",1,-12.463164,130.8395457,Australia,45,NA
"50",1,-12.459662,130.8365874,Australia,54,NA
"51",1,-31.9418522,115.8613045,Australia,51,43
"52",1,-31.947686,115.8600155,Australia,29,50
"53",1,-31.9448288,115.8583656,Australia,162,53
"54",1,-31.9475782,115.8592883,Australia,60,44
"55",1,-31.9488856,115.8622525,Australia,157,52
"56",1,-31.9469384,115.8592338,Australia,10,41
"57",1,-33.891348,151.2714742,Australia,94,49
"58",1,-33.8975642,151.2715493,Australia,27,NA
"59",1,-33.873166,151.2050609,Australia,13,24
"60",1,-38.3297047,144.3163951,Australia,18,NA
"61",1,-16.9181067,145.7685789,Australia,115,21
"62",1,-34.7396769,150.8262206,Australia,174,NA
"63",1,-33.8718566,151.2234262,Australia,63,NA
"64",1,-37.7996196,144.9894375,Australia,48,10
"65",1,-27.4672575,153.0195791,Australia,14,NA
"66",1,-16.9246635,145.7734782,Australia,36,NA
"67",1,-37.865545,144.985538,Australia,79,NA
"68",1,-38.5360028,143.9731665,Australia,62,NA
"69",1,-30.3245033,149.7828706,Australia,159,NA
"70",1,-27.9969972,153.4271585,Australia,141,NA
"71",1,-34.0511647,151.1515739,Australia,52,NA
"72",1,-34.9329224,138.6126723,Australia,3,NA
"73",1,-33.8939578,151.1818704,Australia,23,NA
"74",1,-23.5203555,120.6664817,Australia,65,NA
"75",1,-33.7954476,151.2855279,Australia,101,NA
"76",1,-34.1918909,142.1585116,Australia,108,NA
"77",1,-20.3350337,148.8511135,Australia,12,NA
"78",1,-15.7686322,128.7432531,Australia,93,NA
"79",1,-34.1936455,142.152726,Australia,121,NA
"80",1,-34.1869703,142.1662886,Australia,145,NA
"81",1,-31.945358,115.8730399,Australia,NA,NA
"82",1,-33.8724972,151.222831,Australia,124,NA
"83",1,-32.178813,152.5082602,Australia,137,NA
"84",1,-54.4987046,158.9393678,Australia,NA,NA
"85",1,-33.8693844,151.2253808,Australia,97,28
"86",1,-34.9311864,138.604323,Australia,2,NA
"87",1,-34.9314468,138.6041995,Australia,84,NA
"88",1,-37.0659959,145.5031474,Australia,34,NA
"89",1,-33.9525135,115.0746846,Australia,102,NA
"90",1,-33.9482084,115.0748266,Australia,87,NA
"91",1,-16.915028,145.77008,Australia,76,NA
"92",1,-33.8862349,151.1942986,Australia,155,NA
"93",1,-28.7867024,153.5927474,Australia,NA,NA
"94",1,-33.5717086,115.8271464,Australia,30,NA
"95",1,-33.570951,115.8270203,Australia,55,NA
"96",1,-33.8796463,151.1983294,Australia,140,NA
"97",1,-37.7863795,144.9449136,Australia,164,NA
"98",1,-34.9236662,138.5998404,Australia,24,1
"99",1,-29.0120058,134.7554787,Australia,132,22
"100",1,-37.8088493,144.9591089,Australia,85,17
"101",1,-36.7298616,146.9614844,Australia,28,NA
"102",1,-38.3959792,142.4709392,Australia,169,NA
"103",1,-21.1453005,149.1831757,Australia,41,NA
"104",1,-16.9150803,145.7723549,Australia,39,NA
"105",1,-16.9177247,145.7700319,Australia,8,NA
"106",1,-16.9299967,145.7624911,Australia,161,NA
"107",1,-36.8405573,147.2530401,Australia,NA,NA
"108",1,-31.638851,129.0037172,Australia,NA,NA
"109",1,-37.2218347,148.2630264,Australia,89,NA
"110",1,-33.8734057,151.2244753,Australia,53,12
"111",1,-25.4202182,153.166357,Australia,NA,NA
"112",1,-25.3372889,153.2001968,Australia,69,NA
"113",1,-25.4155285,153.1683359,Australia,129,NA
"114",1,-19.2568781,146.8215739,Australia,133,NA
"115",1,-26.1649118,152.6418302,Australia,78,48
"116",1,-20.268909,148.7184232,Australia,99,NA
"117",1,-20.2683681,148.7171707,Australia,117,NA
"118",1,-20.2684309,148.7173531,Australia,17,NA
"119",1,-43.3403638,146.9946662,Australia,64,NA
"120",1,-33.7050806,150.5707015,Australia,25,NA
"121",1,-38.758535,143.668434,Australia,NA,NA
"122",1,-19.1714639,146.8462862,Australia,15,25
"123",1,-30.49868,151.6442647,Australia,170,NA
"124",1,-30.4998905,151.6417864,Australia,57,NA
"125",1,-30.4995023,151.6399196,Australia,142,NA
"126",1,-30.4985043,151.6418615,Australia,58,NA
"127",1,-30.4976353,151.6409388,Australia,9,NA
"128",1,-30.4970992,151.6398015,Australia,59,NA
"129",1,-30.4963129,151.6386004,Australia,136,NA
"130",1,-37.801364,144.956494,Australia,20,NA
"131",1,-38.5151516,145.356842,Australia,156,NA
"132",1,-37.8019718,144.9929103,Australia,82,15
"133",1,-34.9756533,116.7354133,Australia,168,55
"134",1,-37.802388,144.9609972,Australia,152,8
"135",1,-26.6432341,153.0503759,Australia,103,NA
"136",1,-23.6994791,133.8839074,Australia,4,54
"137",1,-37.831674,144.9573781,Australia,56,3
"138",1,-33.899234,151.177527,Australia,148,NA
"139",1,-37.8073796,144.9470005,Australia,21,NA
"140",1,-34.9246313,138.5998757,Australia,131,NA
"141",1,-43.017932,147.058405,Australia,96,NA
"142",1,-32.7847064,116.9725418,Australia,95,13
"143",1,-37.8237851,146.1770093,Australia,NA,NA
"144",1,-14.4621789,132.2668874,Australia,125,NA
"145",1,-37.7998488,144.991074,Australia,160,30
"146",1,-37.808446,144.974301,Australia,83,16
"147",1,-36.7630961,144.2746613,Australia,19,NA
"148",1,-38.729403,143.6985273,Australia,NA,NA
"149",1,-33.6920579,117.5560415,Australia,143,NA
"150",1,-32.8964317,151.7376552,Australia,80,NA
"151",1,-33.2861189,134.7802303,Australia,49,11
"152",1,-33.8957586,151.1672092,Australia,38,9
"153",1,-38.6545803,146.2022449,Australia,130,33
"154",1,-31.2074431,138.6913225,Australia,77,NA
"155",1,-17.9307347,122.2177409,Australia,35,NA
"156",1,-42.1508799,145.3195783,Australia,146,26
"157",1,-42.8849605,147.3218794,Australia,81,5
"158",1,-24.2122771,151.9066452,Australia,50,NA
"159",1,-33.8714467,151.2166811,Australia,61,NA
"160",1,-28.0689439,145.6827693,Australia,42,NA
"161",1,-25.2381854,152.2867855,Australia,44,NA
"162",1,-16.9194752,145.7765268,Australia,68,4
"163",1,-16.9240702,145.7752673,Australia,73,35
"164",1,-26.3950744,153.089364,Australia,118,NA
"165",1,-28.0044996,153.4234284,Australia,139,23
"166",1,-28.6447017,153.6042686,Australia,7,7
"167",1,-33.8741886,151.2191847,Australia,147,27
"168",1,-41.0537652,145.899781,Australia,149,NA
"169",1,-33.8882611,151.1431446,Australia,71,40
"170",1,-34.1733706,139.9837505,Australia,135,6
"171",1,-15.7729011,128.7410037,Australia,91,18
"172",1,-27.2418918,152.9408729,Australia,111,NA
"173",1,-23.1412977,113.7744342,Australia,NA,NA
"174",1,-37.805599,144.955717,Australia,114,NA
"175",1,-31.9539885,115.8614962,Australia,88,38
"176",1,-30.5067313,115.0625334,Australia,43,2
"177",1,-41.8766228,148.3048358,Australia,22,NA
"178",1,-33.8813436,151.2050602,Australia,1,NA
"179",1,-16.4844045,145.4642842,Australia,163,NA
"180",1,-16.9199317,145.7770656,Australia,75,NA
"181",1,-34.2392139,116.1457597,Australia,100,NA
"182",1,-34.241768,116.1363646,Australia,109,NA
"183",1,-34.2062414,116.0672536,Australia,119,NA
"184",1,-34.6519579,150.3112453,Australia,33,NA
"185",1,-38.3855061,142.2384388,Australia,128,36
"186",1,-37.8206547,144.9556598,Australia,105,37
"187",1,-24.8692948,152.3520142,Australia,32,NA
"188",1,-27.9734085,153.4155163,Australia,6,NA
"189",1,48.1540781,12.8262972,Bayern,221,NA
"190",1,49.1648979,10.3404387,Bayern,242,NA
"191",1,49.30699,12.85498,Bayern,NA,NA
"192",1,48.4485034,10.2810206,Bayern,222,NA
"193",1,48.7648446,11.4145629,Bayern,246,56
"194",1,47.65618,11.3632646,Bayern,247,NA
"195",1,50.2445715,11.3281201,Bayern,203,NA
"196",1,49.2038791,13.0512973,Bayern,236,NA
"197",1,50.1527097,11.057698,Bayern,215,NA
"198",1,47.5540652,9.700087,Bayern,226,NA
"199",1,49.4581497,11.0776402,Bayern,248,57
