"","club","stadium","place","Capacity","Founded","lat","lon","rplace"
"2","Arsenal","Emirates Stadium","London",60.338,"1886",51.55504035,-0.108399570867237,"45 Hornsey Rd, London N7 7DD, UK"
"3","Chelsea","Stamford Bridge","London",41.798,"1905",51.4816865,-0.191963564421104,"30 Brompton Park Cres, Fulham, London SW6 1SW, UK"
"4","Crystal Palace","Selhurst Park","London",26.309,"1905",51.3982724,-0.0854193186833424,"17 Park Rd, London SE25 6LA, UK"
"5","Tottenham Hotspur","White Hart Lane","London",36.23,"1882",51.6032674,-0.0657684804693814,"748 High Rd, London N17, UK"
"6","West Ham United","Boleyn Ground","London",35.303,"1895",51.5318605,0.0392533375401994,"63 Boleyn Rd, London E6 1QD, UK"
"8","Brentford","Griffin Park","London",12.763,"1889",51.48808725,-0.302523929704623,"48 Braemar Rd, Brentford, Greater London TW8 0NS, UK"
"9","Charlton Athletic","The Valley","London",27.111,"1905",51.5229188,-0.0781603,"5-7 Great Eastern St, London EC2A 3EJ, UK"
"10","Fulham","Craven Cottage","London",25.7,"1879",51.4748554,-0.221593801819923,"26 Stevenage Rd, Fulham, London SW6 6ET, UK"
"11","Queens Park Rangers","Loftus Road","London",18.36,"1882",51.5084077,-0.2304647,"59 Loftus Rd, White City, London W12 7EL, UK"
"13","Millwall","The Den","London",20.146,"1885",51.5073219,-0.1276474,"3 Whitehall, London SW1A, UK"
"15","AFC Wimbledon","Kingsmeadow","London",4.85,"2002",51.4051429,-0.281975477527612,NA
"16","Barnet","The Hive Stadium","London",5.1,"1888",53.36575695,-2.73850218297257,"4 Mottershead Rd, Widnes, Halton WA8 7LD, UK"
"17","Dagenham & Redbridge","Victoria Road","London",6.078,"1992",51.5224266,-0.2624586,"Victoria Rd, London W3 6BL, UK"
"18","Leyton Orient","Brisbane Road","London",9.271,"1881",51.5602859,-0.0116574,"7 Brisbane Rd, London E10, UK"
"20","Bromley","Hayes Lane","London",5,"1892",51.3980058,-0.0497447,"261 Elmers End Rd, Beckenham, Greater London BR3 4EJ, UK"
"21","Welling United","Park View Road","London",3.5,"1963",51.4605654,0.1188641,"106 Park View Rd, Welling, Greater London DA16, UK"
"23","Hayes & Yeading United","Kingfield Stadium","London",6.036,"2007",51.30608235,-0.558400753328784,"9 Westfield Ave, Woking, Surrey GU22 9PN, UK"
"24","Sutton United","Borough Sports Ground","London",7.032,"1898",51.3675954,-0.20433710712314,"110 Gander Green Ln, Sutton, Greater London SM1 2HH, UK"
"25","Wealdstone","St. George's Stadium","London",2.64,"1899",51.5936353,-0.3294758,"4 Avenue Georges Gershwin, 63200 Riom, France"
"27","A.F.C. Hornchurch","Hornchurch Stadium","London",3.5,"1923",51.5565905,0.238317057053416,"51 Norfolk Rd, Upminster, Greater London RM14 2RE, UK"
