"","GEO","Val2007M12","Val2013M01"
"9316","EU28",6.9,10.9
"9325","EU27",6.9,10.9
"9334","EU25",6.9,11
"9343","EU15",6.9,11.1
"9352","EA",7.3,12
"9361","EA19",7.3,12
"9370","EA18",7.4,12
"9379","EA17",7.4,12
"9388","EA16",7.4,12
"9397","EA15",7.3,12
"9406","EA13",7.3,12
"9415","EA12",7.4,12
"9424","BE",7.3,8.3
"9433","BG",6.1,12.8
"9442","CZ",4.9,7.1
"9451","DK",3.3,7.3
"9460","DE",8.1,5.3
"9469","EE",4.1,9.6
"9478","IE",5,13.8
"9487","EL",8.1,26.8
"9496","ES",8.8,26.1
"9505","FR",7.3,10.3
"9514","HR",9.9,17.2
"9523","IT",6.6,11.8
"9532","CY",3.8,14.4
"9541","LV",5.6,13
"9550","LT",4.1,12.5
"9559","LU",4.2,5.5
"9568","HU",8,11
"9577","MT",6,6.3
"9586","NL",3.9,6.6
"9595","AT",4.3,5.2
"9604","PL",8.2,10.5
"9613","PT",8.7,17.5
"9622","RO",5.8,6.9
"9631","SI",4.7,10
"9640","SK",10.5,14.2
"9649","FI",6.5,8
"9658","SE",6,7.9
"9667","UK",5,7.9
"9676","IS",2.6,5.7
"9685","NO",2.4,3.6
"9694","TR",9.3,8.7
"9703","US",5,8
"9712","JP",3.7,4.2
