"","NUTS1","NUTS2","AreaType","Anz"
"1","Brandenburg",NA,"federal state",527
"2","Berlin",NA,"federal state",451
"3","Baden WÃ¼rttemberg",NA,"federal state",1929
"4","Bayern",NA,"federal state",2195
"5","Bremen",NA,"federal state",175
"6","Hessen",NA,"federal state",1013
"7","Hamburg",NA,"federal state",240
"8","Mecklenburg Vorpommern",NA,"federal state",395
"9","Niedersachsen",NA,"federal state",2039
"10","Nordrhein-Westfalen",NA,"federal state",3312
"11","Rheinland-Pfalz",NA,"federal state",544
"12","Schleswig Holstein",NA,"federal state",787
"13","Saarland",NA,"federal state",183
"14","Sachsen",NA,"federal state",1043
"15","Sachsen Anhalt",NA,"federal state",589
"16","ThÃ¼ringen",NA,"federal state",506
"17","Brandenburg","Barnim","district",42
"18","Brandenburg","Brandenburg an der Havel","district",10
"19","Brandenburg","Cottbus","district",29
"20","Brandenburg","Dahme-Spreewald","district",25
"21","Brandenburg","Elbe-Elster","district",24
"22","Brandenburg","Frankfurt (Oder)","district",13
"23","Brandenburg","Havelland","district",31
"24","Brandenburg","MÃ¤rkisch-Oderland","district",41
"25","Brandenburg","Oberhavel","district",37
"26","Brandenburg","Oberspreewald-Lausitz","district",25
"27","Brandenburg","Oder-Spree","district",33
"28","Brandenburg","Ostprignitz-Ruppin","district",28
"29","Brandenburg","Potsdam","district",25
"30","Brandenburg","Potsdam-Mittelmark","district",51
"31","Brandenburg","Prignitz","district",26
"32","Brandenburg","Spree-NeiÃe","district",31
"33","Brandenburg","Teltow-FlÃ¤ming","district",31
"34","Brandenburg","Uckermark","district",25
"35","BB","Barnim","district",42
"36","BB","Brandenburg an der Havel","district",10
"37","BB","Cottbus","district",29
"38","BB","Dahme-Spreewald","district",25
"39","BB","Elbe-Elster","district",24
"40","BB","Frankfurt (Oder)","district",13
"41","BB","Havelland","district",31
"42","BB","MÃ¤rkisch-Oderland","district",41
"43","BB","Oberhavel","district",37
"44","BB","Oberspreewald-Lausitz","district",25
"45","BB","Oder-Spree","district",33
"46","BB","Ostprignitz-Ruppin","district",28
"47","BB","Potsdam","district",25
"48","BB","Potsdam-Mittelmark","district",51
"49","BB","Prignitz","district",26
"50","BB","Spree-NeiÃe","district",31
"51","BB","Teltow-FlÃ¤ming","district",31
"52","BB","Uckermark","district",25
"53","BE","Kreisfreie Stadt Berlin","district",451
"54","BW","Alb-Donau-Kreis","district",34
