"","unique_number","id_no","rev_bis","name_en","name_fr","short_description_en","short_description_fr","justification_en","justification_fr","date_inscribed","secondary_dates","danger_list","longitude","latitude","area_hectares","C1","C2","C3","C4","C5","C6","N7","N8","N9","N10","criteria_txt","category","category_short","states_name_en","states_name_fr","name_en.1","name_fr.1","iso_code","udnp_code","transboundary"
"1",230,208,"Rev","Cultural Landscape and Archaeological Remains of the Bamiyan Valley","Paysage culturel et vestiges archéologiques de la vallée de Bamiyan","<p>The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.</p>","<p>Le paysage culturel et les vestiges arch&eacute;ologiques de la vall&eacute;e de Bamiyan illustrent les d&eacute;veloppements artistiques et religieux qui, du Ier au XIIIe si&egrave;cle, ont caract&eacute;ris&eacute; l&rsquo;ancienne Bactriane, int&eacute;grant diverses influences culturelles pour former l&rsquo;&eacute;cole d&rsquo;art bouddhique du Gandhara. Le site contient plusieurs ensembles monastiques et sanctuaires bouddhistes, ainsi que des &eacute;difices fortifi&eacute;s de la p&eacute;riode islamique. Il t&eacute;moigne &eacute;galement de la tragique destruction des deux bouddhas debout par les taliban, qui &eacute;branla le monde en mars 2001.</p>","<p><em>Criterion (i):</em> The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region.</p>
<p><em>Criterion (ii)</em> : The artistic and architectural remains of Bamiyan Valley, and an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman, Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school. To this can be added the Islamic influence in a later period.</p>
<p><em>Criterion (iii):</em> The Bamiyan Valley bears an exceptional testimony to a cultural tradition in the Central Asian region, which has disappeared.</p>
<p><em>Criterion (iv):</em> The Bamiyan Valley is an outstanding example of a cultural landscape which illustrates a significant period in Buddhism.</p>
<p><em>Criterion (vi):</em> The Bamiyan Valley is the most monumental expression of the western Buddhism. It was an important centre of pilgrimage over many centuries. Due to their symbolic values, the monuments have suffered at different times of their existence, including the deliberate destruction in 2001, which shook the whole world.</p>","<p><em>Crit&egrave;re (i):</em> Les statues de Bouddha et l&rsquo;art rupestre de la vall&eacute;e de Bamyan sont une repr&eacute;sentation exceptionnelle de l&rsquo;&eacute;cole du Gandhara dans l&rsquo;art bouddhique de la r&eacute;gion d&rsquo;Asie centrale.</p>
<p><em>Crit&egrave;re (ii):</em> Les vestiges artistiques et architecturaux de la vall&eacute;e de Bamyan, important centre bouddhiste sur la Route de la Soie, sont un t&eacute;moignage exceptionnel de l&rsquo;&eacute;change des influences indiennes, hell&eacute;nistiques, romaines et sassanides qui ont servi de fondations &agrave; une expression artistique particuli&egrave;re de l&rsquo;&eacute;cole du Gandhara. &Agrave; cela s&rsquo;ajoute une influence islamique ult&eacute;rieure.</p>
<p><em>Crit&egrave;re (iii):</em> La vall&eacute;e de Bamyan est un t&eacute;moignage exceptionnel d&rsquo;une tradition culturelle d&rsquo;Asie centrale aujourd&rsquo;hui disparue.</p>
<p><em>Crit&egrave;re (iv):</em> La vall&eacute;e de Bamyan est un exemple exceptionnel de paysage culturel illustrant une p&eacute;riode significative du bouddhisme.</p>
<p><em>Crit&egrave;re (vi):</em> La vall&eacute;e de Bamyan est l&rsquo;expression monumentale la plus importante du Bouddhisme occidental. Ce fut un centre de p&egrave;lerinage essentiel sur plusieurs si&egrave;cles. Les monuments, en raison de leurs valeurs symboliques, ont souffert &agrave; diff&eacute;rentes p&eacute;riodes de leur histoire, notamment lors de la destruction d&eacute;lib&eacute;r&eacute;e de 2001, qui secoua le monde entier.</p>",2003,NA,"Y 2003",67.82525,34.84694,158.9265,1,1,1,1,0,1,0,0,0,0,"(i)(ii)(iii)(iv)(vi)","Cultural","C","Afghanistan","Afghanistan","Asia and the Pacific","Asie et pacifique","af","afg",0
"2",234,211,"Rev","Minaret and Archaeological Remains of Jam","Minaret et vestiges archéologiques de Djam","<p>The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.</p>","<p>Haut de 65m, le minaret de Djam est une construction gracieuse et élancée datant du XIIe siècle. Recouvert d’une décoration complexe en briques et portant une inscription de tuiles bleues au sommet, il est remarquable par la qualité de son architecture et de ses motifs décoratifs, qui représentent l’apogée d’une tradition artistique propre à cette région. Son impact est renforcé par un environnement spectaculaire : une vallée profonde qui s’ouvre entre d’imposantes montagnes au cœur de la province du Ghor.</p>","<p><em>Criterion (ii):</em> The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond.</p>
<p><em>Criterion (iii): </em>The Minaret of Jam and its associated archaeological remains constitute exceptional testimony to the power and quality of the Ghurid civilization that dominated its region in the 12th and 13th centuries.</p>
<p><em>Criterion (iv): </em>The Minaret of Jam is an outstanding example of Islamic architecture and ornamentation in this region and played a significant role in their further dissemination.</p>","<p><em>Critère (ii)</em> : L'architecture et la décoration innovatrices du Minaret de Djam ont joué un rôle significatif dans le développement des arts et de l'architecture du sous-continent indien et au-delà.</p>
<p><em>Critère (iii)</em> : Le minaret de Djam et ses vestiges archéologiques associés constituent un témoignage exceptionnel de la puissance et de la qualité de la civilisation ghoride qui domina cette région aux XIIe et XIIIe siècles.</p>
<p><em>Critère (iv)</em> : Le minaret de Djam est un exemple exceptionnel de l’architecture et de l’ornementation islamiques dans la région et joua un rôle dans leur diffusion.</p>",2002,NA,"Y 2002",64.51605556,34.39655556,70,0,1,1,1,0,0,0,0,0,0,"(ii)(iii)(iv)","Cultural","C","Afghanistan","Afghanistan","Asia and the Pacific","Asie et pacifique","af","afg",0
"3",1590,569,"Bis","Historic Centres of Berat and Gjirokastra ","Centres historiques de Berat et de Gjirokastra ","<p>Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It features a castle, locally known as the Kala, most of which was built in the 13th century, although its origins date back to the 4th century BC. The citadel area numbers many Byzantine churches, mainly from the 13th century, as well as several mosques built under the Ottoman era which&nbsp;began&nbsp;in 1417. Gjirokastra, in the Drinos river valley in southern Albania, features a series of outstanding two-story&nbsp;houses which were developed in the 17th century. The town also retains a bazaar, an 18th-century mosque and two churches of the same period.</p>","<p>Berat et Gjirokastra sont inscrites en tant que rares exemples d'un style architectural typique de la p&eacute;riode ottomane. Situ&eacute;e dans le centre de l'Albanie, Berat porte le t&eacute;moignage de la coexistence de diff&eacute;rentes communaut&eacute;s religieuses et culturelles au fil des si&egrave;cles. Elle comprend un ch&acirc;teau, localement appel&eacute; le Kala, dont la majeure partie fut construite au XIIIe si&egrave;cle, bien que ses origines remontent au IVe si&egrave;cle avant JC. Le quartier de la citadelle compte de nombreuses &eacute;glises byzantines, dont plusieurs du XIII&egrave;me si&egrave;cle, ainsi que plusieurs mosqu&eacute;es construites sous l'&egrave;re ottomane qui d&eacute;buta en 1417. Gjirokastra, dans la vall&eacute;e de la rivi&egrave;re Drinos au sud de l'Albanie, comprend une s&eacute;rie de remarquables maisons &agrave; deux &eacute;tages, qui se d&eacute;velopp&egrave;rent au XVIIe si&egrave;cle. La ville comprend &eacute;galement un bazar, une mosqu&eacute;e du XVIIIe si&egrave;cle ainsi que deux &eacute;glises de la m&ecirc;me &eacute;poque.</p>",NA,NA,2005,"2008",NA,20.13333333,40.06944444,58.9,0,0,1,1,0,0,0,0,0,0,"(iii)(iv)","Cultural","C","Albania","Albanie","Europe and North America","Europe et Amérique du nord","al","alb",0
"4",1563,570,"ter","Butrint","Butrint","<p>Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city&rsquo;s development.</p>","<p>Habit&eacute; depuis les temps pr&eacute;historiques, le site de Butrint fut successivement le si&egrave;ge d&rsquo;une colonie grecque, d&rsquo;une ville romaine, puis d&rsquo;un &eacute;v&ecirc;ch&eacute;. Apr&egrave;s une &eacute;poque de prosp&eacute;rit&eacute; sous l&rsquo;administration de Byzance, puis une br&egrave;ve occupation v&eacute;nitienne, la ville fut abandonn&eacute;e par sa population &agrave; la fin du Moyen &Acirc;ge &agrave; cause de la pr&eacute;sence de mar&eacute;cages voisins. Le site arch&eacute;ologique actuel est un conservatoire des ruines repr&eacute;sentatives de chaque p&eacute;riode du d&eacute;veloppement de la ville.</p>",NA,NA,1992,"1999",NA,20.02611111,39.75111111,NA,0,0,1,0,0,0,0,0,0,0,"(iii)","Cultural","C","Albania","Albanie","Europe and North America","Europe et Amérique du nord","al","alb",0
"5",111,102,NA,"Al Qal'a of Beni Hammad","La Kalâa des Béni Hammad","<p>In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria.</p>","<p>Dans un site montagneux d&rsquo;une saisissante beaut&eacute;, les ruines de la premi&egrave;re capitale des &eacute;mirs hammadides, fond&eacute;e en 1007 et d&eacute;mantel&eacute;e en 1152, nous restituent l&rsquo;image authentique d&rsquo;une ville musulmane fortifi&eacute;e. Sa mosqu&eacute;e, avec sa salle de pri&egrave;re de 13 nefs &agrave; 8 trav&eacute;es, est l&rsquo;une des plus grandes d&rsquo;Alg&eacute;rie.</p>",NA,NA,1980,NA,NA,4.78684,35.81844,150,0,0,1,0,0,0,0,0,0,0,"(iii)","Cultural","C","Algeria","Algérie","Arab States","États arabes","dz","dza",0
"6",209,188,NA,"M'Zab Valley","Vallée du M'Zab","<p>A traditional human habitat, created in the 10th century by the Ibadites around their five <em>ksour</em> (fortified cities), has been preserved intact in the M&rsquo;Zab valley. Simple, functional and perfectly adapted to the environment, the architecture of M&rsquo;Zab was designed for community living, while respecting the structure of the family. It is a source of inspiration for today&rsquo;s urban planners.</p>","<p>Le paysage de la vall&eacute;e du M&rsquo;Zab, cr&eacute;&eacute; au Xe si&egrave;cle par les Ibadites autour de leurs cinq <em>ksour</em>, ou villages fortifi&eacute;s, semble &ecirc;tre rest&eacute; intact. Simple, fonctionnelle et parfaitement adapt&eacute;e &agrave; l&rsquo;environnement, l&rsquo;architecture du M&rsquo;Zab a &eacute;t&eacute; con&ccedil;ue pour la vie en communaut&eacute;, tout en respectant les structures familiales. C&rsquo;est une source d&rsquo;inspiration pour les urbanistes d&rsquo;aujourd&rsquo;hui.</p>",NA,NA,1982,NA,NA,3.68333,32.48333,665.03,0,1,1,0,1,0,0,0,0,0,"(ii)(iii)(v)","Cultural","C","Algeria","Algérie","Arab States","États arabes","dz","dza",0
"7",212,191,NA,"Djémila","Djémila","<p>Situated 900 m above sea-level, Dj&eacute;mila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.</p>","<p>Dj&eacute;mila, ou Cuicul, avec son forum, ses temples et ses basiliques, ses arcs de triomphe et ses maisons, &agrave; 900 m d&rsquo;altitude, est un exemple remarquable d&rsquo;urbanisme romain adapt&eacute; &agrave; un site montagneux.</p>",NA,NA,1982,NA,NA,5.73667,36.32056,30.6,0,0,1,1,0,0,0,0,0,0,"(iii)(iv)","Cultural","C","Algeria","Algérie","Arab States","États arabes","dz","dza",0
"8",215,194,NA,"Timgad","Timgad","<p>Timgad lies on the northern slopes of the Aur&egrave;s mountains and was created <em>ex nihilo</em> as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the <em>cardo</em> and <em>decumanus</em>, the two perpendicular routes running through the city, it is an excellent example of Roman town planning.</p>","<p>Sur le versant nord des Aur&egrave;s, Timgad fut cr&eacute;&eacute;e <em>ex nihilo</em>, en 100 apr. J.-C., par l&rsquo;empereur Trajan comme colonie militaire. Avec son enceinte carr&eacute;e et son plan orthogonal command&eacute; par le <em>cardo</em> et le <em>decumanus</em>, les deux voies perpendiculaires qui traversaient la ville, c&rsquo;est un exemple parfait d&rsquo;urbanisme romain.</p>",NA,NA,1982,NA,NA,6.63333,35.45,90.54,0,1,1,1,0,0,0,0,0,0,"(ii)(iii)(iv)","Cultural","C","Algeria","Algérie","Arab States","États arabes","dz","dza",0
"9",667,565,NA,"Kasbah of Algiers","Casbah d'Alger","<p>The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community.</p>","<p>Dans l&rsquo;un des plus beaux sites maritimes de la M&eacute;diterran&eacute;e, surplombant les &icirc;lots o&ugrave; un comptoir carthaginois fut install&eacute; d&egrave;s le IVe si&egrave;cle av. J.-C., la Casbah constitue un type unique de <em>m&eacute;dina</em> , ou ville islamique. Lieu de m&eacute;moire autant que d&rsquo;histoire, elle comprend des vestiges de la citadelle, des mosqu&eacute;es anciennes, des palais ottomans, ainsi qu&rsquo;une structure urbaine traditionnelle associ&eacute;e &agrave; un grand sens de la communaut&eacute;.</p>",NA,NA,1992,NA,NA,3.06028,36.78333,60,0,1,0,0,1,0,0,0,0,0,"(ii)(v)","Cultural","C","Algeria","Algérie","Arab States","États arabes","dz","dza",0
"10",1487,1160,"Bis","Madriu-Perafita-Claror Valley","La Vallée du Madriu-Perafita-Claror","<p>The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open pastures and steep wooded valleys, covers an area of 4,247 ha, 9% of the total area of the principality. It reflects past changes in climate, economic fortune and social systems, as well as the persistence of pastoralism and a strong mountain culture, notably the survival of a communal land-ownership system dating back to the 13th century. The site features houses, notably summer settlements, terraced fields, stone tracks and evidence of iron smelting.</p>","<p>Le paysage culturel de la vall&eacute;e du Madriu-Perafita-Claror est un microcosme qui t&eacute;moigne du g&eacute;nie d&eacute;ploy&eacute; par les populations des Pyr&eacute;n&eacute;es au cours du mill&eacute;naire pour exploiter les ressources locales. Ses paysages spectaculaires de montagnes d&eacute;chiquet&eacute;es et de glaciers, avec ses alpages et ses profondes vall&eacute;es bois&eacute;es, couvrent une zone de 4 247 ha, soit 9% de la superficie totale de l&rsquo;Andorre. La vall&eacute;e refl&egrave;te les mutations du climat, des conditions &eacute;conomiques et des syst&egrave;mes sociaux, ainsi que la permanence du pastoralisme et d&rsquo;une forte culture montagnarde, illustr&eacute;e notamment par la permanence d&rsquo;un syst&egrave;me de gestion communale des terrains datant du XIIIe si&egrave;cle. Le site, dernier endroit du pays &agrave; ne pas disposer de route, comprend des habitations notamment des cabanes d&rsquo;&eacute;t&eacute; pour les bergers, des champs en terrasse, des sentiers empierr&eacute;s et des vestiges de fonderie.</p>","<p><em>Criterion (v):</em> The Madriu-Perafita-Claror Valley is a microcosm of the way its inhabitants have harvested the scarce resources of the high Pyrenees over the past millennia to create a sustainable living environment in harmony with the mountain landscape. The Valley is a reflection of an ancient communal system of land management that has survived for over 700 years.</p>","<p><em>Crit&egrave;re (v)&nbsp;:</em> La Vall&eacute;e du Madriu-Perafita-Claror est un microcosme de la mani&egrave;re dont ses habitants ont recueilli les rares ressources des hautes Pyr&eacute;n&eacute;es au cours des derniers mill&eacute;naires pour cr&eacute;er un environnement vivant durable, en harmonie avec le paysage de montagne. La Vall&eacute;e rappelle un ancien syst&egrave;me communal de gestion des terres qui subsiste depuis plus de 700 ans.</p>",2004,NA,NA,1.595555556,42.49472222,4247,0,0,0,0,1,0,0,0,0,0,"(v)","Cultural","C","Andorra","Andorre","Europe and North America","Europe et Amérique du nord","ad","and",0
