"","lat","lon","place","name"
"1",54.3326815,10.1118931,"Schleswig-Holstein","Bonema"
"2",54.6597364,9.9317043,"Schleswig-Holstein","dodo club"
"3",53.8620833,10.6875244,"Schleswig-Holstein","Jazz Cafe LÃ¼beck"
"4",53.8704548,10.6883674,"Schleswig-Holstein","Bolero"
"5",54.1673982,10.5498371,"Schleswig-Holstein","Edgar's"
"6",53.5784524,9.7044075,"Schleswig-Holstein","I touch"
"7",54.3311294,10.1799181,"Schleswig-Holstein","Lola Coffee Bar"
"8",54.0917338,10.8051877,"Schleswig-Holstein","Baritim"
"9",53.627735,10.6871337,"Schleswig-Holstein","Giu"
"10",53.6133631,10.6745729,"Schleswig-Holstein","Bogeys Bar"
"11",53.8078191,10.3870054,"Schleswig-Holstein","Viva"
"12",54.3108153,10.7972784,"Schleswig-Holstein","Die Bar"
"13",53.602991,10.6964212,"Schleswig-Holstein","Sports Bar"
"14",54.4075949,10.2897458,"Schleswig-Holstein","Timeout Sportsbar"
"15",54.3042423,9.6810928,"Schleswig-Holstein",NA
"16",53.8096916,10.3760581,"Schleswig-Holstein",NA
"17",53.8090111,10.3698975,"Schleswig-Holstein","Eisbar"
"18",54.3059835,9.6601279,"Schleswig-Holstein","Ruby Days"
"19",54.3041115,9.6648648,"Schleswig-Holstein","Recall"
"20",53.7857388,9.4115278,"Schleswig-Holstein","De Molenkieker"
"21",54.335277,10.1276777,"Schleswig-Holstein","Hansa 48"
"22",54.2936722,10.588106,"Schleswig-Holstein","LPSbar"
"23",53.7078954,9.9904355,"Schleswig-Holstein","LenciÂ´s DrinX"
"24",54.3147184,10.1326864,"Schleswig-Holstein","winner's"
"25",54.3141688,10.1321021,"Schleswig-Holstein","El Sombrero - Cantina Mexicana"
"26",53.8671878,10.6809413,"Schleswig-Holstein","Barcio"
"27",54.3160158,10.1333491,"Schleswig-Holstein","Deck 8"
"28",54.3466034,10.1532616,"Schleswig-Holstein","Seebar DÃ¼sternbrook"
"29",54.1655431,10.5473305,"Schleswig-Holstein","SunSeaBar"
"30",53.8386568,10.6940473,"Schleswig-Holstein","Stress"
"31",54.774554,9.4406925,"Schleswig-Holstein","Kulturwerkstatt KÃ¼hlhaus e.V."
"32",53.9484818,9.7201831,"Schleswig-Holstein","Cohiba Bar"
"33",54.505283,9.5413987,"Schleswig-Holstein","Bistro Topaz"
"34",54.9867142,8.3622806,"Schleswig-Holstein",NA
"35",53.8612586,10.6320566,"Schleswig-Holstein","Rider's CafÃ© Music Club"
"36",54.3232817,10.1390698,"Schleswig-Holstein","Hemingway"
"37",54.3231655,10.1392617,"Schleswig-Holstein","Mango's"
"38",53.8719838,10.6857494,"Schleswig-Holstein","La Havanna"
"39",54.7718401,8.9753623,"Schleswig-Holstein",NA
"40",54.9082123,8.3046395,"Schleswig-Holstein","Wunderbar"
"41",54.9094821,8.3025606,"Schleswig-Holstein","HÃ¼tchen Bar"
"42",54.7565254,8.2911104,"Schleswig-Holstein","Steffis Bierbar"
"43",54.6827939,8.5676083,"Schleswig-Holstein","Aqua Marin"
"44",54.4774482,9.047726,"Schleswig-Holstein","Cava"
"45",53.8621545,10.6880422,"Schleswig-Holstein","Friends"
"46",54.9557369,8.3393853,"Schleswig-Holstein","Pony"
"47",53.6725483,10.239619,"Schleswig-Holstein","Vertigo"
"48",53.9236084,9.5213803,"Schleswig-Holstein","Havana"
"49",54.0217656,10.7495989,"Schleswig-Holstein","Bierstube ""Der Kutscher"""
"50",54.0253532,10.758676,"Schleswig-Holstein","DÃ¼nen Lagune"
"51",54.0254124,10.7586452,"Schleswig-Holstein","DÃ¼nen Lagune"
"52",54.3288351,10.1351883,"Schleswig-Holstein","La Bodega del Sol"
"53",54.1042302,10.5852076,"Schleswig-Holstein","Back to the Roots"
"54",53.8697653,10.6813503,"Schleswig-Holstein","jaxx"
"55",53.86977,10.6808979,"Schleswig-Holstein","Piranha Bar"
"56",53.8618982,10.681548,"Schleswig-Holstein","Chapeau Claque"
"57",53.774973,10.5946141,"Schleswig-Holstein","Imbiss & GetrÃ¤nke"
"58",53.8760767,10.6884865,"Schleswig-Holstein","Strandsalon"
"59",53.8653796,10.685895,"Schleswig-Holstein","Apfelsinchen"
"60",54.4116085,11.2106989,"Schleswig-Holstein","Beach Bar"
"61",54.3226608,10.1310456,"Schleswig-Holstein","Birdcage"
"62",54.3149356,10.1486632,"Schleswig-Holstein","Zum Haifisch"
"63",53.8714095,10.6821282,"Schleswig-Holstein","pih"
"64",54.4486723,11.1466504,"Schleswig-Holstein","Sportlerheim RSV Landkirchen Lounge"
