"","lat","lon","place","generator.source"
"1",53.8064237,10.3267048,"Schleswig-Holstein","wind"
"2",53.8044097,10.3276698,"Schleswig-Holstein","wind"
"3",53.6879089,9.6301301,"Schleswig-Holstein","wind"
"4",53.6872125,9.6326878,"Schleswig-Holstein","wind"
"5",53.6913803,9.6333316,"Schleswig-Holstein","wind"
"6",53.69198,9.6288684,"Schleswig-Holstein","wind"
"7",53.6935148,9.6283791,"Schleswig-Holstein","wind"
"8",53.8506443,9.3457535,"Schleswig-Holstein","nuclear"
"9",53.8910353,9.2011845,"Schleswig-Holstein","nuclear"
"10",54.6329131,10.0005595,"Schleswig-Holstein","wind"
"11",54.6302305,10.0011334,"Schleswig-Holstein","wind"
"12",54.6302363,9.9969533,"Schleswig-Holstein","wind"
"13",54.7718269,9.4564029,"Schleswig-Holstein","wind"
"14",54.5126254,9.4450328,"Schleswig-Holstein","wind"
"15",54.513358,9.4419389,"Schleswig-Holstein","wind"
"16",54.513959,9.438806,"Schleswig-Holstein","wind"
"17",54.6283034,9.0148255,"Schleswig-Holstein","wind"
"18",54.6270526,9.0116304,"Schleswig-Holstein","wind"
"19",54.5725594,9.2208764,"Schleswig-Holstein","wind"
"20",54.5712905,9.2242894,"Schleswig-Holstein","wind"
"21",54.5738905,9.2168858,"Schleswig-Holstein","wind"
"22",54.006025,9.008651,"Schleswig-Holstein","wind"
"23",54.0720765,9.2429814,"Schleswig-Holstein","wind"
"24",54.2629238,9.0358116,"Schleswig-Holstein","wind"
"25",54.2613677,9.0386371,"Schleswig-Holstein","wind"
"26",54.264992,9.034345,"Schleswig-Holstein","wind"
"27",54.263786,9.039534,"Schleswig-Holstein","wind"
"28",54.26867,9.027301,"Schleswig-Holstein","wind"
"29",54.266611,9.030585,"Schleswig-Holstein","wind"
"30",54.267702,9.0348026,"Schleswig-Holstein","wind"
"31",54.2659865,9.0383966,"Schleswig-Holstein","wind"
"32",54.271338,9.033521,"Schleswig-Holstein","wind"
"33",54.270252,9.024169,"Schleswig-Holstein","wind"
"34",54.2696973,9.0374887,"Schleswig-Holstein","wind"
"35",54.2710985,9.0284034,"Schleswig-Holstein","wind"
"36",54.273676,9.028517,"Schleswig-Holstein","wind"
"37",54.261823,9.018423,"Schleswig-Holstein","wind"
"38",54.2622586,9.0116299,"Schleswig-Holstein","wind"
"39",54.259109,9.016211,"Schleswig-Holstein","wind"
"40",54.2639298,9.0096428,"Schleswig-Holstein","wind"
"41",54.260943,9.014154,"Schleswig-Holstein","wind"
"42",54.265715,9.012636,"Schleswig-Holstein","wind"
"43",54.905005,8.822566,"Schleswig-Holstein","wind"
"44",54.4197976,8.929944,"Schleswig-Holstein","wind"
"45",54.359371,8.928921,"Schleswig-Holstein","wind"
"46",54.4211973,8.9296944,"Schleswig-Holstein","wind"
"47",53.7712126,10.4975868,"Schleswig-Holstein","wind"
"48",53.7739359,10.5054939,"Schleswig-Holstein","wind"
"49",53.7785716,10.5057392,"Schleswig-Holstein","wind"
"50",54.260591,9.020264,"Schleswig-Holstein","wind"
"51",54.267162,9.01084,"Schleswig-Holstein","wind"
"52",54.058835,9.375774,"Schleswig-Holstein","wind"
"53",54.691159,9.169783,"Schleswig-Holstein","wind"
"54",54.686355,9.173113,"Schleswig-Holstein","wind"
"55",54.053539,9.38761,"Schleswig-Holstein","wind"
"56",54.054483,9.393225,"Schleswig-Holstein","wind"
"57",54.055786,9.379153,"Schleswig-Holstein","wind"
"58",54.057256,9.37498,"Schleswig-Holstein","wind"
"59",54.057036,9.381822,"Schleswig-Holstein","wind"
"60",54.054695,9.383298,"Schleswig-Holstein","wind"
"61",54.055256,9.387718,"Schleswig-Holstein","wind"
"62",54.053355,9.397446,"Schleswig-Holstein","wind"
"63",54.052551,9.392993,"Schleswig-Holstein","wind"
"64",53.912195,10.392698,"Schleswig-Holstein","wind"
"65",53.910242,10.396744,"Schleswig-Holstein","wind"
"66",53.908406,10.400793,"Schleswig-Holstein","wind"
"67",53.903777,10.402297,"Schleswig-Holstein","wind"
"68",53.909121,10.407257,"Schleswig-Holstein","wind"
"69",53.906435,10.404837,"Schleswig-Holstein","wind"
"70",53.867335,10.418416,"Schleswig-Holstein","wind"
"71",54.6319129,9.5319118,"Schleswig-Holstein","wind"
"72",53.86655,10.434541,"Schleswig-Holstein","wind"
"73",53.865166,10.430007,"Schleswig-Holstein","wind"
"74",53.8909245,9.1908267,"Schleswig-Holstein","wind"
"75",53.8908431,9.1852708,"Schleswig-Holstein","wind"
"76",54.3597299,10.4043948,"Schleswig-Holstein","wind"
"77",54.3574953,10.4022248,"Schleswig-Holstein","wind"
"78",54.6745365,9.193481,"Schleswig-Holstein","wind"
"79",54.190081,8.926391,"Schleswig-Holstein","wind"
"80",54.257249,9.012756,"Schleswig-Holstein","wind"
"81",54.391812,9.458278,"Schleswig-Holstein","wind"
"82",54.392486,9.45348,"Schleswig-Holstein","wind"
"83",54.394821,9.472743,"Schleswig-Holstein","wind"
"84",54.3930481,9.4757898,"Schleswig-Holstein","wind"
"85",54.1758768,8.8684483,"Schleswig-Holstein","wind"
"86",54.1781521,8.870268,"Schleswig-Holstein","wind"
"87",54.1748095,8.8633559,"Schleswig-Holstein","wind"
"88",54.1909618,8.9210768,"Schleswig-Holstein","wind"
"89",54.1918278,8.918971,"Schleswig-Holstein","wind"
"90",54.1927319,8.9169194,"Schleswig-Holstein","wind"
"91",54.346705,9.85467,"Schleswig-Holstein","wind"
"92",54.349119,9.858874,"Schleswig-Holstein","wind"
"93",54.34572,9.849065,"Schleswig-Holstein","wind"
"94",54.353837,9.850171,"Schleswig-Holstein","wind"
"95",54.353495,9.843794,"Schleswig-Holstein","wind"
"96",54.3518231,9.8626111,"Schleswig-Holstein","wind"
"97",54.3532245,9.8566887,"Schleswig-Holstein","wind"
"98",54.189328,8.8576787,"Schleswig-Holstein","wind"
"99",54.607285,9.658215,"Schleswig-Holstein","wind"
"100",54.604301,9.661527,"Schleswig-Holstein","wind"
"101",54.189261,8.923374,"Schleswig-Holstein","wind"
"102",54.001613,9.839163,"Schleswig-Holstein","wind"
"103",54.074639,9.532141,"Schleswig-Holstein","wind"
"104",54.0709507,9.5324493,"Schleswig-Holstein","wind"
"105",54.068206,9.531615,"Schleswig-Holstein","wind"
"106",54.076693,9.529095,"Schleswig-Holstein","wind"
"107",54.065933,9.53533,"Schleswig-Holstein","wind"
"108",54.062188,9.536749,"Schleswig-Holstein","wind"
"109",54.072881,9.535389,"Schleswig-Holstein","wind"
"110",53.9930575,9.0108008,"Schleswig-Holstein","wind"
"111",53.8387979,10.2734623,"Schleswig-Holstein","wind"
"112",53.8355435,10.2714069,"Schleswig-Holstein","wind"
"113",53.8360299,10.2781321,"Schleswig-Holstein","wind"
"114",54.261137,9.032147,"Schleswig-Holstein","wind"
"115",53.8373328,10.2690442,"Schleswig-Holstein","wind"
"116",54.6363601,8.8858433,"Schleswig-Holstein","wind"
"117",53.994655,9.012615,"Schleswig-Holstein","wind"
"118",54.0012868,9.0052082,"Schleswig-Holstein","wind"
"119",53.990584,9.005277,"Schleswig-Holstein","wind"
"120",54.030297,9.550979,"Schleswig-Holstein","wind"
"121",54.032114,9.546758,"Schleswig-Holstein","wind"
"122",54.034692,9.547128,"Schleswig-Holstein","wind"
"123",54.036412,9.544387,"Schleswig-Holstein","wind"
"124",53.853999,9.563711,"Schleswig-Holstein","wind"
"125",53.8539035,9.5580513,"Schleswig-Holstein","wind"
"126",53.854207,9.569035,"Schleswig-Holstein","wind"
"127",53.854271,9.574478,"Schleswig-Holstein","wind"
"128",53.9975467,9.0145497,"Schleswig-Holstein","wind"
"129",53.9987915,9.0044638,"Schleswig-Holstein","wind"
"130",53.995607,9.017786,"Schleswig-Holstein","wind"
"131",53.992524,9.017205,"Schleswig-Holstein","wind"
"132",54.036134,9.53426,"Schleswig-Holstein","wind"
"133",54.039337,9.539646,"Schleswig-Holstein","wind"
"134",54.262999,9.02785,"Schleswig-Holstein","wind"
"135",54.688366,9.168638,"Schleswig-Holstein","wind"
"136",54.169337,8.900112,"Schleswig-Holstein","wind"
"137",54.1706413,8.8953623,"Schleswig-Holstein","wind"
"138",54.1718133,8.8917605,"Schleswig-Holstein","wind"
"139",54.172903,8.88771,"Schleswig-Holstein","wind"
"140",54.174058,8.883831,"Schleswig-Holstein","wind"
"141",54.171611,8.901133,"Schleswig-Holstein","wind"
"142",54.015594,9.8526,"Schleswig-Holstein","wind"
"143",54.011643,9.852122,"Schleswig-Holstein","wind"
"144",54.006295,9.839287,"Schleswig-Holstein","wind"
"145",54.00474,9.83149,"Schleswig-Holstein","wind"
"146",54.00998,9.841818,"Schleswig-Holstein","wind"
"147",54.009019,9.849368,"Schleswig-Holstein","wind"
"148",54.012597,9.833951,"Schleswig-Holstein","wind"
"149",54.071162,9.525739,"Schleswig-Holstein","wind"
"150",54.071446,9.5388984,"Schleswig-Holstein","wind"
"151",54.0696568,9.5287613,"Schleswig-Holstein","wind"
"152",54.008274,9.833834,"Schleswig-Holstein","wind"
"153",54.014258,9.843278,"Schleswig-Holstein","wind"
"154",54.0023,9.834767,"Schleswig-Holstein","wind"
"155",54.0161,9.83428,"Schleswig-Holstein","wind"
"156",54.006652,9.845993,"Schleswig-Holstein","wind"
"157",53.989064,9.418674,"Schleswig-Holstein","wind"
"158",53.986826,9.413314,"Schleswig-Holstein","wind"
"159",53.98277,9.414188,"Schleswig-Holstein","wind"
"160",53.985853,9.403559,"Schleswig-Holstein","wind"
"161",53.986836,9.407884,"Schleswig-Holstein","wind"
"162",53.986058,9.419803,"Schleswig-Holstein","wind"
"163",53.989622,9.413219,"Schleswig-Holstein","wind"
"164",54.261139,9.0253,"Schleswig-Holstein","wind"
"165",54.255658,9.014337,"Schleswig-Holstein","wind"
"166",54.2683737,9.0135722,"Schleswig-Holstein","wind"
"167",54.271953,9.012254,"Schleswig-Holstein","wind"
"168",53.9053124,9.2401634,"Schleswig-Holstein","wind"
"169",54.68402,9.184069,"Schleswig-Holstein","wind"
"170",54.1822696,8.9250119,"Schleswig-Holstein","wind"
"171",54.1840502,8.9257449,"Schleswig-Holstein","wind"
"172",54.1858385,8.9268091,"Schleswig-Holstein","wind"
"173",54.1881708,8.9266861,"Schleswig-Holstein","wind"
"174",53.985399,9.425698,"Schleswig-Holstein","wind"
"175",53.981556,9.42203,"Schleswig-Holstein","wind"
"176",53.988375,9.425378,"Schleswig-Holstein","wind"
"177",53.98429,9.408531,"Schleswig-Holstein","wind"
"178",53.9903627,9.4072469,"Schleswig-Holstein","wind"
"179",53.988927,9.403421,"Schleswig-Holstein","wind"
"180",53.980169,9.415078,"Schleswig-Holstein","wind"
"181",53.983271,9.404098,"Schleswig-Holstein","wind"
"182",54.2969419,10.9793931,"Schleswig-Holstein","wind"
"183",54.296157,10.975943,"Schleswig-Holstein","wind"
"184",53.9049631,9.233284,"Schleswig-Holstein","wind"
"185",53.980488,9.083684,"Schleswig-Holstein","wind"
"186",53.9816836,9.088078,"Schleswig-Holstein","wind"
"187",54.6274766,8.9911836,"Schleswig-Holstein","wind"
"188",54.5523336,9.0054027,"Schleswig-Holstein","wind"
"189",54.1521125,10.3261597,"Schleswig-Holstein","wind"
"190",54.612891,9.666869,"Schleswig-Holstein","wind"
"191",54.610733,9.665471,"Schleswig-Holstein","wind"
"192",54.610381,9.672123,"Schleswig-Holstein","wind"
"193",54.362134,10.35481,"Schleswig-Holstein","wind"
"194",53.9025963,9.0832555,"Schleswig-Holstein","wind"
"195",53.9018261,9.086402,"Schleswig-Holstein","wind"
"196",53.8999107,9.0849604,"Schleswig-Holstein","wind"
"197",54.3631142,10.3544292,"Schleswig-Holstein","wind"
"198",54.1718142,8.8780728,"Schleswig-Holstein","wind"
"199",54.169919,8.88778,"Schleswig-Holstein","wind"
"200",54.287875,8.774319,"Schleswig-Holstein","wind"
"201",54.292595,8.775169,"Schleswig-Holstein","wind"
"202",54.4510782,11.0861665,"Schleswig-Holstein","wind"
"203",54.809875,9.532952,"Schleswig-Holstein","wind"
"204",54.168593,8.882545,"Schleswig-Holstein","wind"
"205",54.169878,8.882694,"Schleswig-Holstein","wind"
"206",54.1693989,8.850535,"Schleswig-Holstein","wind"
"207",54.735759,8.714295,"Schleswig-Holstein","wind"
"208",54.1720014,8.8650309,"Schleswig-Holstein","wind"
"209",54.1725582,8.8592408,"Schleswig-Holstein","wind"
"210",54.189377,8.937504,"Schleswig-Holstein","wind"
"211",53.906946,9.243411,"Schleswig-Holstein","wind"
"212",53.906948,9.24714,"Schleswig-Holstein","wind"
"213",54.733846,9.188318,"Schleswig-Holstein","wind"
"214",54.190605,8.93013,"Schleswig-Holstein","wind"
"215",54.192807,8.931766,"Schleswig-Holstein","wind"
"216",54.000623,9.046607,"Schleswig-Holstein","wind"
"217",54.518046,9.386774,"Schleswig-Holstein","wind"
"218",54.3184131,8.6317349,"Schleswig-Holstein","wind"
"219",54.53973,9.147685,"Schleswig-Holstein","wind"
"220",54.425764,8.934447,"Schleswig-Holstein","wind"
"221",54.4617291,11.0643062,"Schleswig-Holstein","wind"
"222",54.337974,11.0510638,"Schleswig-Holstein","wind"
"223",54.499681,8.626308,"Schleswig-Holstein","wind"
"224",54.169814,8.84227,"Schleswig-Holstein","wind"
"225",54.192879,9.018131,"Schleswig-Holstein","wind"
"226",54.537746,9.551394,"Schleswig-Holstein","wind"
"227",54.173374,8.823705,"Schleswig-Holstein","wind"
"228",54.1720392,8.8521303,"Schleswig-Holstein","wind"
"229",54.1755433,8.8517023,"Schleswig-Holstein","wind"
"230",54.1717958,8.8831504,"Schleswig-Holstein","wind"
"231",54.492766,9.075988,"Schleswig-Holstein","wind"
"232",54.312934,8.978127,"Schleswig-Holstein","wind"
"233",54.1133768,8.9875402,"Schleswig-Holstein","wind"
"234",54.1463154,9.0041319,"Schleswig-Holstein","wind"
"235",54.1771355,8.8614588,"Schleswig-Holstein","wind"
"236",54.1785506,8.8745673,"Schleswig-Holstein","wind"
"237",54.1807862,8.8738395,"Schleswig-Holstein","wind"
"238",53.9791853,9.0849365,"Schleswig-Holstein","wind"
"239",53.9088574,9.246484,"Schleswig-Holstein","wind"
"240",53.9117513,9.2448035,"Schleswig-Holstein","wind"
"241",53.9103243,9.2457131,"Schleswig-Holstein","wind"
"242",54.1643538,8.8345714,"Schleswig-Holstein","wind"
"243",53.913152,9.243934,"Schleswig-Holstein","wind"
"244",54.527767,9.105551,"Schleswig-Holstein","wind"
"245",54.453092,9.203962,"Schleswig-Holstein","wind"
"246",54.450438,9.205954,"Schleswig-Holstein","wind"
"247",54.1528314,10.8696145,"Schleswig-Holstein","wind"
"248",54.1553917,10.8664495,"Schleswig-Holstein","wind"
"249",54.1508051,10.8706391,"Schleswig-Holstein","wind"
"250",54.1530451,10.8625683,"Schleswig-Holstein","wind"
"251",54.1525415,10.8661768,"Schleswig-Holstein","wind"
"252",54.509262,9.427698,"Schleswig-Holstein","wind"
"253",54.530907,9.254263,"Schleswig-Holstein","wind"
"254",54.5309919,9.2617116,"Schleswig-Holstein","wind"
"255",54.6353561,9.0104469,"Schleswig-Holstein","wind"
"256",54.6360702,9.0090897,"Schleswig-Holstein","wind"
"257",54.6383654,8.9982454,"Schleswig-Holstein","wind"
"258",54.524637,9.18876,"Schleswig-Holstein","wind"
"259",54.52759,9.185822,"Schleswig-Holstein","wind"
"260",54.523812,9.193453,"Schleswig-Holstein","wind"
"261",54.526545,9.192956,"Schleswig-Holstein","wind"
"262",54.529868,9.248369,"Schleswig-Holstein","wind"
"263",54.53054,9.240415,"Schleswig-Holstein","wind"
"264",54.5284,9.241097,"Schleswig-Holstein","wind"
"265",54.5291058,9.256236,"Schleswig-Holstein","wind"
"266",54.529678,9.183807,"Schleswig-Holstein","wind"
"267",54.5754199,9.2134948,"Schleswig-Holstein","wind"
"268",54.573873,9.202631,"Schleswig-Holstein","wind"
"269",54.5769756,9.2096162,"Schleswig-Holstein","wind"
"270",54.570371,9.2116,"Schleswig-Holstein","wind"
"271",54.571655,9.207199,"Schleswig-Holstein","wind"
"272",53.953459,8.927129,"Schleswig-Holstein","wind"
"273",53.9280445,8.9933552,"Schleswig-Holstein","wind"
"274",53.835842,9.576977,"Schleswig-Holstein","wind"
"275",53.833039,9.578701,"Schleswig-Holstein","wind"
"276",53.827465,9.57323,"Schleswig-Holstein","wind"
"277",53.828984,9.571519,"Schleswig-Holstein","wind"
"278",53.830574,9.569809,"Schleswig-Holstein","wind"
"279",53.832146,9.568113,"Schleswig-Holstein","wind"
"280",53.833699,9.566447,"Schleswig-Holstein","wind"
"281",53.837187,9.57967,"Schleswig-Holstein","wind"
"282",53.835741,9.5812,"Schleswig-Holstein","wind"
"283",53.960001,8.924008,"Schleswig-Holstein","wind"
"284",53.955077,8.926334,"Schleswig-Holstein","wind"
"285",54.237141,8.865059,"Schleswig-Holstein","wind"
"286",53.9615928,8.9232167,"Schleswig-Holstein","wind"
"287",54.239387,8.864453,"Schleswig-Holstein","wind"
"288",54.236147,8.868069,"Schleswig-Holstein","wind"
"289",54.1965384,9.0673314,"Schleswig-Holstein","wind"
"290",54.1693836,9.0403953,"Schleswig-Holstein","wind"
"291",54.282972,9.001352,"Schleswig-Holstein","wind"
"292",54.287385,9.005884,"Schleswig-Holstein","wind"
"293",54.289748,9.004901,"Schleswig-Holstein","wind"
"294",54.287699,9.001475,"Schleswig-Holstein","wind"
"295",54.291851,9.008096,"Schleswig-Holstein","wind"
"296",54.1907361,8.9630267,"Schleswig-Holstein","wind"
"297",54.323443,8.7166003,"Schleswig-Holstein","wind"
"298",53.831361,9.574393,"Schleswig-Holstein","wind"
"299",54.815502,8.844744,"Schleswig-Holstein","wind"
"300",54.817238,8.845983,"Schleswig-Holstein","wind"
"301",54.8115664,8.8425505,"Schleswig-Holstein","wind"
"302",54.813847,8.843552,"Schleswig-Holstein","wind"
"303",54.8132845,8.8488703,"Schleswig-Holstein","wind"
"304",53.9385933,8.9360991,"Schleswig-Holstein","wind"
"305",53.7732194,10.4962484,"Schleswig-Holstein","wind"
"306",53.7740786,10.5016557,"Schleswig-Holstein","wind"
"307",53.7766015,10.5060154,"Schleswig-Holstein","wind"
"308",54.455999,9.166124,"Schleswig-Holstein","wind"
"309",54.7914675,9.0711075,"Schleswig-Holstein","wind"
"310",54.500349,9.161409,"Schleswig-Holstein","wind"
"311",54.502471,9.160136,"Schleswig-Holstein","wind"
"312",53.832499,9.573132,"Schleswig-Holstein","wind"
"313",53.833674,9.571841,"Schleswig-Holstein","wind"
"314",54.443654,9.18831,"Schleswig-Holstein","wind"
"315",54.44131,9.187389,"Schleswig-Holstein","wind"
"316",54.242172,8.863354,"Schleswig-Holstein","wind"
"317",54.198398,10.951252,"Schleswig-Holstein","wind"
"318",54.196231,10.952929,"Schleswig-Holstein","wind"
"319",53.9257643,8.94597,"Schleswig-Holstein","wind"
"320",54.200533,10.954281,"Schleswig-Holstein","wind"
"321",54.7892252,9.0722984,"Schleswig-Holstein","wind"
"322",54.787026,9.0735161,"Schleswig-Holstein","wind"
"323",54.7912786,9.0807877,"Schleswig-Holstein","wind"
"324",54.7891931,9.0802841,"Schleswig-Holstein","wind"
"325",54.49647,9.165192,"Schleswig-Holstein","wind"
"326",54.497704,9.163051,"Schleswig-Holstein","wind"
"327",54.494708,9.165648,"Schleswig-Holstein","wind"
"328",54.493312,9.161026,"Schleswig-Holstein","wind"
"329",54.490343,9.156862,"Schleswig-Holstein","wind"
"330",54.492012,9.158844,"Schleswig-Holstein","wind"
"331",54.492919,9.165795,"Schleswig-Holstein","wind"
"332",54.488837,9.154108,"Schleswig-Holstein","wind"
"333",54.491049,9.166482,"Schleswig-Holstein","wind"
"334",54.227928,10.9466108,"Schleswig-Holstein","wind"
"335",54.219203,10.951512,"Schleswig-Holstein","wind"
"336",54.22568,10.956252,"Schleswig-Holstein","wind"
"337",54.218144,10.955865,"Schleswig-Holstein","wind"
"338",54.22019,10.947233,"Schleswig-Holstein","wind"
"339",54.221576,10.950428,"Schleswig-Holstein","wind"
"340",54.22542,10.947924,"Schleswig-Holstein","wind"
"341",54.216747,10.948314,"Schleswig-Holstein","wind"
"342",54.204645,10.932855,"Schleswig-Holstein","wind"
"343",54.222031,10.915919,"Schleswig-Holstein","wind"
"344",54.218363,10.945138,"Schleswig-Holstein","wind"
"345",54.206405,10.934103,"Schleswig-Holstein","wind"
"346",54.206539,10.929094,"Schleswig-Holstein","wind"
"347",54.205924,10.939401,"Schleswig-Holstein","wind"
"348",54.206024,10.978063,"Schleswig-Holstein","wind"
"349",54.203465,10.937477,"Schleswig-Holstein","wind"
"350",54.207911,10.975869,"Schleswig-Holstein","wind"
"351",54.207686,10.96931,"Schleswig-Holstein","wind"
"352",54.204678,10.973537,"Schleswig-Holstein","wind"
"353",54.814438,8.849432,"Schleswig-Holstein","wind"
"354",53.868087,10.414943,"Schleswig-Holstein","wind"
