Personal characteristics;Countries;Periods;score
Total;Austria;2010;.
Total;Belgium;2010;6
Total;Bulgaria;2010;3,9
Total;Croatia;2010;4,4
Total;Cyprus;2010;5,5
Total;Czech Republic;2010;4,9
Total;Denmark;2010;7,7
Total;Estonia;2010;6,2
Total;Finland;2010;8
Total;France;2010;5,6
Total;Germany;2010;6,9
Total;Greece;2010;4,6
Total;Hungary;2010;5,1
Total;Iceland;2010;.
Total;Ireland;2010;6,5
Total;Israel;2010;4,8
Total;Kosovo;2010;.
Total;Netherlands;2010;6,3
Total;Norway;2010;7,2
Total;Poland;2010;5,4
Total;Portugal;2010;5,1
Total;Russia;2010;3,5
Total;Slovakia;2010;4,5
Total;Slovenia;2010;5
Total;Spain;2010;6,3
Total;Sweden;2010;7
Total;Switzerland;2010;7
Total;Ukraine;2010;2,5
Total;United Kingdom;2010;6,2
