"","name","city","street","hnr"
"29040741","Filmrauschpalast in der Kulturfabrik","Berlin",NA,NA
"79615774","CineStar","Berlin",NA,NA
"101186634","UCI Kinowelt Am Eastgate","Berlin","Märkische Allee","176-178"
"251559871","INTIMES","Berlin","Niederbarnimstraße","15"
"256754256","Kino Babylon","Berlin","Rosa-Luxemburg-Straße","30"
"260768733","CineStar Original & IMAX","Berlin","Potsdamer Straße","4"
"261606215","Freiluftkino Friedrichshain","Berlin",NA,NA
"268595942","Adria Filmtheater","Berlin","Schloßstraße","48"
"272004025","Cineplex-Spandau","Berlin",NA,NA
"273477667","Kino Spreehöfe","Berlin","Wilhelminenhofstraße","89"
"277004600","Cosima","Berlin",NA,NA
"281887442","Kino Toni","Berlin","Max-Steinke-Straße","43"
"288783377","UCI KINOWELT Friedrichshain","Berlin","Landsberger Allee","52"
"297512119","Cinema","Berlin","Bundesallee","111"
"299288097","Kino im Kulturhaus Spandau","Berlin",NA,NA
"312618622","Neue Kant Kinos","Berlin",NA,NA
"313942258","Cinestar","Berlin",NA,NA
"331345531","Sputnik Kino","Berlin","Hasenheide","54"
"331529860","Freiluftkino Hasenheide","Berlin",NA,NA
"333351711","Cineplex","Berlin",NA,NA
"339825650","Lichtblick","Berlin",NA,NA
"343648844","Nickelodeon","Berlin",NA,NA
"343650200","Hackesche Höfe Kino","Berlin","Rosenthaler Straße","40-41"
"343650283","Central Kino","Berlin","Rosenthaler Straße","39"
"350460866","fsk","Berlin","Segitzdamm","2"
"350460874","Babylon-Kino","Berlin","Dresdener Straße","126"
"352907002","Xenon","Berlin","Kolonnenstraße","5"
"355946428","Yorck","Berlin","Yorckstraße","86"
"388325296","Blauer Stern","Berlin",NA,NA
"391462594","UCI Kinowelt","Berlin",NA,NA
"437291301","Cinestar Cubix am Alexanderplatz","Berlin","Rathausstraße","1"
"439239167","Kino UNION Filmtheater","Berlin","Bölschestraße","69"
"447078290","Brotfabrik","Berlin","Caligariplatz","1"
"448811295","Kino Moviemento","Berlin","Kottbusser Damm","22"
"474801031","Passage Kino","Berlin","Karl-Marx-Straße","131"
"494156434","Tilsiter Lichtspiele","Berlin","Richard-Sorge-Straße","25a"
"609911082","Acud","Berlin","Veteranenstraße","21"
"638313755","Casablanca","Berlin",NA,NA
"660899079","Freiluftkino Kreuzberg","Berlin","Mariannenplatz","2"
"662864720","Rollberg-Kino","Berlin","Rollbergstraße","70"
"675243681","CinemaxX","Berlin","Potsdamer Straße","5"
"769174903","Freiluftkino Insel im Cassiopeia","Berlin",NA,NA
"792057385","Die Kiste","Berlin","Heidenauer Straße","10"
"837792482","Neues Off Kino","Berlin","Hermannstraße","20"
"856458265","Bärliner Autokino","Berlin","Kurt-Schumacher-Damm","207"
"945097267","arsenal","Berlin","Potsdamer Straße","2"
"979081268","Titania-Palast","Berlin","Gutsmuthsstraße","27-28"
"988418173","Bali Kino","Berlin","Teltower Damm","33"
"1197273317","OpenAirKino Spandau","Berlin","Carl-Schurz-Straße","13"
"1291756034","Kino","Berlin","Lausitzer Straße","22"
"1336816758","Sweet Secrets","Berlin","Jüdenstraße","29"
"1426582972","Zukunft / Pompeji","Berlin",NA,NA
"1569218585","Kino Sex Shop","Berlin",NA,NA
"1787511231","Ladenkino","Berlin",NA,NA
"1863569258","Filmtheater am Friedrichshain","Berlin","Bötzowstraße","1-5"
"1934149453","filmkunst 66","Berlin","Bleibtreustraße","12"
"1965270875","BE-KAS Sexothek & Kino","Berlin",NA,NA
"2388960235","Regal Cinemas","Berlin",NA,NA
"2445454963","Eva Lichtspiele","Berlin","Blissestraße","18"
"2458223837","Kino Krokodil","Berlin","Greifenhagener Straße","32"
"2476268052","Bundesplatz Studio","Berlin","Bundesplatz","14"
"2479053617","Cinema Paris","Berlin","Kurfürstendamm",NA
"3406158870","IL KINO Berlin","Berlin",NA,NA
"3675973920","Astor Film Lounge","Berlin","Kurfürstendamm","225"
"3721318009","Sommerkino","Berlin",NA,NA
"3817115996","City Kino Wedding im Centre Français","Berlin",NA,NA
"4007032909","Schneiders Filmclub","Berlin","Gustav-Meyer-Allee","25"
