"","place","lat","lon","mapfeature","kvalue","operator","capacity"
"330262541","Hessen",51.2921561,9.4448597,"car_sharing","amenity","StattAuto",NA
"349301520","Hessen",50.0700994,8.2462942,"car_sharing","amenity","book-n-drive","14"
"359939969","Hessen",49.8818234,8.6574274,"car_sharing","amenity","book-n-drive",NA
"370378012","Hessen",49.8795692,8.6552804,"car_sharing","amenity","book-n-drive",NA
"414105987","Hessen",49.8782381,8.6569915,"car_sharing","amenity","book-n-drive",NA
"434142358","Hessen",50.7989114,8.7622328,"car_sharing","amenity","einfach mobil","1"
"436620706","Hessen",50.805485,8.7712962,"car_sharing","amenity","einfach mobil","2"
"470821041","Hessen",50.8183369,8.7746236,"car_sharing","amenity","einfach mobil","7"
"470824231","Hessen",50.7997591,8.7889108,"car_sharing","amenity","einfach mobil","1"
"470835153","Hessen",50.8030327,8.7691483,"car_sharing","amenity","einfach mobil","4"
"470840221","Hessen",50.7910933,8.7676229,"car_sharing","amenity","einfach mobil","2"
"470842227","Hessen",50.8152754,8.7498524,"car_sharing","amenity","einfach mobil","1"
"470843855","Hessen",50.8149269,8.772498,"car_sharing","amenity","einfach mobil","1"
"470844155","Hessen",50.808802,8.7838273,"car_sharing","amenity","einfach mobil","1"
"470985109","Hessen",50.8357892,8.7607631,"car_sharing","amenity","einfach mobil","1"
"470988091","Hessen",50.7943782,8.7665366,"car_sharing","amenity","einfach mobil","1"
"470990947","Hessen",50.776628,8.7679945,"car_sharing","amenity","einfach mobil","1"
"471005478","Hessen",50.80101,8.7488525,"car_sharing","amenity","einfach mobil","1"
"471009640","Hessen",50.8034134,8.7562103,"car_sharing","amenity","einfach mobil","1"
"471011676","Hessen",50.803899,8.7620304,"car_sharing","amenity","einfach mobil","2"
"505125869","Hessen",49.8641939,8.6477491,"car_sharing","amenity","book-n-drive",NA
"517853445","Hessen",49.8707323,8.6472,"car_sharing","amenity","book-n-drive",NA
"518606566","Hessen",49.8687749,8.6476804,"car_sharing","amenity","book-n-drive",NA
"519659689","Hessen",49.8810417,8.661113,"car_sharing","amenity","book-n-drive",NA
"519661748","Hessen",49.8792795,8.6557668,"car_sharing","amenity","book-n-drive",NA
"520469541","Hessen",49.8732449,8.630776,"car_sharing","amenity","book-n-drive",NA
"529632968","Hessen",51.3143474,9.4816036,"car_sharing","amenity","Stattauto","3"
"529636192","Hessen",51.3170158,9.4780997,"car_sharing","amenity","Stattauto","1"
"529640610","Hessen",51.3162191,9.4675355,"car_sharing","amenity","Stattauto","1"
"529640611","Hessen",51.31366,9.4739606,"car_sharing","amenity","Stattauto","2"
"564182673","Hessen",50.1076895,8.651452,"car_sharing","amenity",NA,NA
"583308023","Hessen",50.8019279,8.7676216,"car_sharing","amenity","einfach mobil","2"
"623539169","Hessen",50.1193138,8.6487869,"car_sharing","amenity","book-n-drive","1"
"655181553","Hessen",50.1239756,8.6447886,"car_sharing","amenity","book-n-drive","1"
"701717691","Hessen",50.8021237,8.7598401,"car_sharing","amenity","einfach mobil",NA
"966094807","Hessen",50.1188884,8.6402621,"car_sharing","amenity","DB Carsharing",NA
"1478742105","Hessen",50.8069355,8.7721066,"car_sharing","amenity","einfach mobil","1"
"1607634084","Hessen",50.8049023,8.7598613,"car_sharing","amenity","einfach mobil","2"
"1665255751","Hessen",50.1297928,8.6946127,"car_sharing","amenity",NA,NA
"1696469669","Hessen",51.3126002,9.4582463,"car_sharing","amenity",NA,NA
"1756921724","Hessen",51.3176969,9.4726357,"car_sharing","amenity","Stattauto","1"
"1777965863","Hessen",50.1029969,8.6635179,"car_sharing","amenity",NA,NA
"1797666647","Hessen",50.5702746,8.66223,"car_sharing","amenity","einfach mobil",NA
"1797666648","Hessen",50.5741009,8.6849266,"car_sharing","amenity","einfach mobil",NA
"1797666651","Hessen",50.5789629,8.6644716,"car_sharing","amenity","einfach mobil",NA
"1797666655","Hessen",50.5791367,8.6740211,"car_sharing","amenity","einfach mobil",NA
"1797666669","Hessen",50.5800799,8.665468,"car_sharing","amenity","einfach mobil",NA
"1797666672","Hessen",50.580773,8.6738256,"car_sharing","amenity","einfach mobil",NA
"1797666673","Hessen",50.5839174,8.6793474,"car_sharing","amenity","einfach mobil",NA
"1797666674","Hessen",50.5881977,8.673087,"car_sharing","amenity","einfach mobil",NA
"1797666676","Hessen",50.5884294,8.6645356,"car_sharing","amenity","einfach mobil",NA
"1962772283","Hessen",49.8720691,8.6279313,"car_sharing","amenity","Flinkster","2"
"1962772310","Hessen",49.8720762,8.6280761,"car_sharing","amenity","book-n-drive","2"
"1962772315","Hessen",49.8705169,8.6247341,"car_sharing","amenity","book-n-drive","1"
"1962787570","Hessen",49.8738248,8.6366686,"car_sharing","amenity","book-n-drive","3"
"2126069739","Hessen",50.0059121,8.0319235,"car_sharing","amenity","Flinkster","1"
"2126069747","Hessen",50.0116868,8.0505649,"car_sharing","amenity","Flinkster","1"
"2126091784","Hessen",50.0706826,8.2398055,"car_sharing","amenity","book-n-drive","1"
"2126091785","Hessen",50.0695877,8.2431904,"car_sharing","amenity","Flinkster","2"
"2126091786","Hessen",50.0609256,8.2413534,"car_sharing","amenity",NA,"1"
"2126091787","Hessen",50.0726741,8.2369063,"car_sharing","amenity","book-n-drive","2"
"2126091788","Hessen",50.0707945,8.2470606,"car_sharing","amenity","Flinkster","1"
