"12-stelliger Amtlicher 
Gemeindeschlüssel (AGS)";Bundesland;"Regierungsbezirk/ 
Ebene NUTS-2";"Kreisfreie Stadt/
Stadtkreis/
Landkreis";"Gemeinde-
verband";Gemeinde;Gebiet;"Regional-
ebene";Einwohnerzahl zum 09. Mai 2011;Bevölkerung nach Geschlecht;;;Bevölkerung nach Familienstand (ausführlich) und Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;Bevölkerung nach Alter (10er-Jahresgruppen) und Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bevölkerung nach 11 Altersklassen und Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bevölkerung nach Staatsangehörigkeitsgruppen;;;;;;;Bevölkerung nach Geburtsland (Gruppen);;;;;;;Bevölkerung nach Religion;;;;Bevölkerung nach Migrationshintergrund und -erfahrung;;;;;;;;;;;Personen mit Migrationserfahrung nach Zuzugsjahrzehnt ;;;;;;;;Bevölkerung mit Migrationshintergrund nach Regionen;;;;;Bevölkerung nach Erwerbsstatus und Geschlecht;;;;;;;;;;;;;;;Erwerbstätige nach Stellung im Beruf;;;;;;Erwerbstätige Bevölkerung nach Beruf (Hauptgruppen ISCO-08);;;;;;;;;;;Erwerbstätige nach Wirtschaftszweig Wirtschafts(unter)bereiche;;;;;;;;;;;;;;;Personen in schulischer Ausbildung nach Klassenstufen;;;;Personen in schulischer Ausbildung nach Schulform;;;;;;;Personen ab 15 Jahren nach höchstem schulischen Abschluss;;;;;;;;;;Personen ab 15 Jahren nach höchstem beruflichen Abschluss (ausführlich);;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;insgesamt;Geschlecht;;insgesamt;männlich;weiblich;Familienstand und Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;insgesamt;männlich;weiblich;Alter und Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;insgesamt;männlich;weiblich;Alter und Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;insgesamt;Staatsangehörigkeitsgruppen;;;;;;insgesamt;Geburtsland (Gruppen);;;;;;Insgesamt;Religion;;;Insgesamt;Migrationshintergrund und -erfahrung;;;;;;;;;;Insgesamt;Zuzugsjahrzehnt ;;;;;;;Insgesamt;Migrationshintergrund nach Regionen;;;;Insgesamt;männlich;weiblich;Erwerbsstatus und Geschlecht;;;;;;;;;;;;Insgesamt;Stellung im Beruf;;;;;Insgesamt;Beruf (Hauptgruppen ISCO-08);;;;;;;;;;Insgesamt;Wirtschaftszweig Wirtschafts(unter)bereiche;;;;;;;;;;;;;;Insgesamt;Klassenstufen;;;Insgesamt;Schulform;;;;;;Insgesamt;Höchster Schulabschluss;;;;;;;;;Insgesamt;Höchster beruflicher Abschluss (ausführlich);;;;;;
;;;;;;;;;;männlich;weiblich;;;;Ledig;;;Verheiratet;;;Verwitwet;;;Geschieden;;;Eingetr. Lebenspartnerschaft;;;Eingetr. Lebenspartner/-in verstorben;;;Eingetr. Lebenspartnerschaft aufgehoben;;;Ohne Angabe;;;;;;unter 10;;;10-19;;;20-29;;;30-39;;;40-49;;;50-59;;;60-69;;;70-79;;;80 und älter;;;;;;unter 3 Jahre;;;3-5 Jahre;;;6-14 Jahre;;;15-17 Jahre;;;18-24 Jahre;;;25-29 Jahre;;;30-39 Jahre;;;40-49 Jahre;;;50-64 Jahre;;;65-74 Jahre;;;75 Jahre und älter;;;;Deutschland;Ausland;;;;;;Deutschland;Ausland;;;;;;Römisch-katholische Kirche (öffentlich-rechtlich);Evangelische Kirche (öffentlich-rechtlich);Sonstige, keine, ohne Angabe;;Personen ohne Migrationshintergrund;zusammen;Personen mit Migrationshintergrund;;;;;;;;;1956 - 1959;1960 - 1969;1970 - 1979;1980 - 1989;1990 - 1999;2000 - 2011;Unbekannt;;EU27-Land;Sonstiges Europa;Sonstige Welt;Unbekanntes Ausland;;;;Erwerbspersonen;;;;;;;;;Nichterwerbspersonen;;;;Angestellte/Arbeiter/-innen;Beamte/-innen;Selbstständige mit Beschäftigten;Selbstständige ohne Beschäftigte;Mithelfende Familienangehörige;;Führungskräfte;Akademische Berufe;Techniker und gleichrangige nichttechnische Berufe;Bürokräfte und verwandte Berufe;Dienstleistungsberufe und Verkäufer;Fachkräfte in Land-/Forstwirtschaft und Fischerei;Handwerks- und verwandte Berufe;Bediener von Anlagen/Maschinen und Montageberufe;Hilfsarbeitskräfte;Angehörige der regulären Streitkräfte;;"Land-/Forstwirtschaft, 
Fischerei";"Produzierendes 
Gewerbe";davon;;;"Handel, Gastgewerbe und Verkehr; IuK";davon;;Sonstige Dienstleistungen;davon;;;;unbekannt;;Klasse 1 bis 4;Klasse 5 bis 9 bzw. 10 (Sekundarstufe I);Klasse 11 bis 13 (Gymnasiale Oberstufe);;Grundschule;Hauptschule;Realschule;Gymnasium;Gesamtschule;Sonstige Schule;;Ohne oder noch kein Schulabschluss;davon;;Haupt-/ Volksschulabschluss;Mittlerer Schulabschluss und gymnasiale Oberstufe;davon;;Fachhochschulreife;Allg./fachgebundene Hochschulreife (Abitur);;Ohne beruflichen Abschluss;Lehre, Berufsausbildung im dualen System;Fachschulabschluss;Abschluss einer Fachakademie oder Berufsakademie;Fachhochschulabschluss;Hochschulabschluss;Promotion
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zusammen;davon;;;;;;zusammen;davon;;;;;;;;;;;davon;;;;;;;;;;;;;;;;;;;;;;;;zusammen;männlich;weiblich;davon;;;;;;zusammen;männlich;weiblich;;;;;;;;;;;;;;;;;;;;;Bergbau und Verarbeitendes Gewerbe;Energie-/ Wasserversorgung, Abfallentsorgung;Baugewerbe;;Handel, Reparatur von KFZ, Gastgewerbe;  Verkehr und Lagerei, Kommunikation;;  Finanz- und Versicherungsdienstleistungen;  Grundstücks-/Wohnungswesen, wirtschaftl. Dienstl.;  Öffentliche Verwaltung u.ä.;  Öfftl. und priv. Dienstl. (ohne öfftl. Verwaltung);;;;;;;;;;;;;;;Ohne Schulabschluss;  Noch in schulischer Ausbildung;;;Realschul- oder gleichwertiger Abschluss;Schüler/-innen der gymnasialen Oberstufe;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU27-Land;Sonstiges Europa;Sonstige Welt;Sonstige;;;;EU27-Land;Sonstiges Europa;Sonstige Welt;Sonstige;;;;;;;;Ausländer/-innen;;;Deutsche mit Migrationshintergrund;;;;;;;;;;;;;;;;;;;;;;;;Erwerbstätige;;;Erwerbslose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zusammen;mit eigener Migrationserfahrung;ohne eigene Migrationserfahrung;zusammen;mit eigener Migrationserfahrung;ohne eigene Migrationserfahrung;davon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;;;;zusammen;männlich;weiblich;zusammen;weiblich;männlich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;;;;zusammen;männlich;weiblich;zusammen;weiblich;männlich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;zusammen;männlich;weiblich;;;;;;;;;;;;;;;;;;;;;;;;;;;;mit beidseitigem Migrationshintergrund;mit einseitigem Migrationshintergrund;;;;;;;;;;;;;;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223
08;08;;;;;Baden-Württemberg;Land;10486660;10486660;5132555;5354105;10486660;5132555;5354105;4272996;2292374;1980622;4882900;2442085;2440815;667450;117991;549459;655660;275670;379990;6240;3577;2663;128;85;43;473;281;192;813;492;321;10486660;5132555;5354105;945418;485123;460295;1154218;592584;561634;1300270;658347;641923;1259330;626092;633238;1737851;878952;858899;1466160;726540;739620;1097450;532912;564538;996967;455025;541942;528996;176980;352016;10486660;5132555;5354105;269228;138095;131133;279349;142779;136570;960161;493470;466691;343950;176760;167190;901992;461058;440934;645226;323892;321334;1259330;626092;633238;1737851;878952;858899;2053733;1014073;1039660;1103595;521676;581919;932245;355708;576537;10486660;9355239;1131421;447051;526799;155089;2482;10486660;8467785;2018875;726358;640434;448291;203792;10486660;3816038;3426107;3244515;10410990;7737650;2673340;1119900;804790;315100;1553440;861270;692170;348020;344150;1666070;29110;138760;242480;285950;554880;338640;76250;2673340;1045490;1023790;602440;1620;10410900;5093620;5317280;5751290;3050680;2700610;5570990;2959460;2611530;180300;91210;89080;4659610;2042950;2616670;5570990;4693970;277530;249480;290270;59730;5446920;292660;1007230;1031550;733900;746220;69640;739030;358960;454080;13640;5570990;75600;1778260;1440820;59610;277830;1318250;893000;425250;2398610;172410;634900;341020;1250270;260;1343780;420530;725400;197840;1343780;405910;129510;290910;393900;11170;112360;8905260;668650;421050;247600;3384440;2337140;2139290;197840;658300;1856750;8905260;2567560;3845570;985340;158760;536150;682850;129050
081;08;1;;;;Reg.-Bez. Stuttgart;Regierungsbezirk/NUTS2;3914359;3914360;1922479;1991881;3914360;1922479;1991881;1577441;851211;726230;1842860;922982;919878;246972;43616;203356;244271;102916;141355;2373;1465;908;(61);43;18;197;121;76;185;125;60;3914360;1922479;1991881;358938;184169;174769;427269;219295;207974;471972;240473;231499;490659;246066;244593;649422;329751;319671;537735;267065;270670;412938;200187;212751;371687;170026;201661;193740;65447;128293;3914360;1922479;1991881;102689;52759;49930;106094;54322;51772;359836;184711;175125;127324;65205;62119;322637;166123;156514;239599;120817;118782;490659;246066;244593;649422;329751;319671;755800;373562;382238;416173;196607;219566;344127;132556;211571;3914360;3423731;490629;194649;237684;57431;865;3914360;3094348;820012;317030;267348;160772;74862;3914360;1083547;1486326;1344487;3888630;2781620;1107010;487580;342980;144600;619430;332800;286630;148620;138020;675780;11900;60910;109930;122930;215660;123650;30800;1107010;439110;448380;218680;840;3888580;1909800;1978780;2143250;1145890;997360;2073670;1111230;962440;69580;34660;34910;1745330;763910;981420;2073670;1756420;97950;88410;108660;22230;2027660;112100;382730;386970;284780;265450;25330;273360;129990;163690;3250;2073670;27340;675340;555880;19890;99560;484550;322210;162340;886240;73710;259500;129570;423460;(210);502000;159000;270350;72650;502000;153580;47790;107890;147230;3560;41950;3321340;275280;181610;93670;1213890;901840;829200;72650;256940;673390;3321340;942170;1435060;367370;64760;221080;251310;39590
